Average Salary,Q1 - Which Title Best Fits your Current Role?.1,Q10 - Current Age,Q11 - Which Country do you live in?.1,Q13 - Ethnicity,Q12 - Highest Level of Education,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?.1,Q5 - Favorite Programming Language.1,Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Unique ID
20,Data Analyst,29,Other,Hispanic or Latino,Associates,No,0-40k,Tech,Python,10,10,9,4,9,9,Easy,Better Salary,Male,62a34210cf25554317300c02
20,Data Analyst,29,Other,Hispanic or Latino,Bachelors,No,0-40k,Finance,Python,10,8,1,1,2,2,Difficult,Remote Work,Female,62a3d21ef3072dd8926314d1
20,Data Analyst,29,Other,Hispanic or Latino,High School,Yes,0-40k,Healthcare,R,6,10,6,6,8,8,Easy,Remote Work,Male,62a36146f8f7561645856ff7
20,Data Analyst,29,Other,Other (Please Specify):Human,Bachelors,No,0-40k,Other,Python,4,6,4,4,5,4,Neither easy nor difficult,Remote Work,Male,62a343a22e54c9003e532a2a
20,Data Analyst,29,Other,White or Caucasian,Masters,Yes,0-40k,Tech,Python,4,1,5,4,2,4,Difficult,Better Salary,Male,62a3a9dbd8c00e9f541a93eb
20,Data Analyst,29,Other,White or Caucasian,Masters,Yes,0-40k,Tech,Python,8,8,7,6,7,7,Easy,Good Work/Life Balance,Male,62a3455bbc6861bf3176d57a
20,Data Analyst,30,Other,Black or African American,Masters,Yes,0-40k,Tech,Python,5,2,5,3,5,5,Neither easy nor difficult,Remote Work,Male,62a427190a77c1a77f67095c
20,Data Analyst,30,Other,Hispanic or Latino,Masters,Yes,0-40k,Finance,Python,9,10,10,10,9,9,Neither easy nor difficult,Good Culture,Male,62a34687f408bae018ed4c52
20,Data Analyst,30,Other,Hispanic or Latino,Masters,Yes,0-40k,Healthcare,Python,10,10,8,4,8,10,Easy,Good Work/Life Balance,Male,62a38153cec54911e9cad855
20,Data Analyst,30,Other,Other (Please Specify):African,Masters,No,0-40k,Finance,Python,6,6,5,6,6,5,Neither easy nor difficult,Better Salary,Male,62a36794b4da29969c633b48
20,Data Analyst,30,Other,Other (Please Specify):Asian,Masters,Yes,0-40k,Tech,Python,0,0,1,0,0,3,Easy,Good Culture,Female,62a7047c24a26260273c9646
20,Data Analyst,30,Other,Other (Please Specify):Moroccan,Masters,No,0-40k,Other,R,2,3,3,4,2,10,Neither easy nor difficult,Better Salary,Male,62a4d7f6bae91e4b8b84ffed
20,Data Analyst,30,Other,Other (Please Specify):Nigeria,Bachelors,Yes,0-40k,Other,Python,5,1,5,1,1,9,Difficult,Better Salary,Male,62aa3e6824a26260274264da
20,Data Analyst,30,United Kingdom,Asian or Asian American,Masters,Yes,0-40k,Tech,Python,0,0,0,0,0,0,Difficult,Good Work/Life Balance,Male,62a49e47b4da29969c64b9f9
20,Data Analyst,30,United Kingdom,Black or African American,Bachelors,No,0-40k,Telecommunication,Other,4,6,3,1,2,4,Very Difficult,Better Salary,Male,62a347f6b4da29969c62fb79
20,Data Analyst,30,United Kingdom,White or Caucasian,Bachelors,Yes,0-40k,Finance,C/C++,10,10,8,5,10,10,Very Easy,Good Work/Life Balance,Male,62a368ee2e54c9003e537e4a
20,Data Analyst,30,United Kingdom,White or Caucasian,Bachelors,Yes,0-40k,Other,Python,8,10,9,2,8,8,Difficult,Better Salary,Male,62a44bc7bc6861bf31783829
20,Data Analyst,31,India,Asian or Asian American,"",No,0-40k,Tech,Python,6,7,6,4,7,6,Easy,Good Work/Life Balance,Male,62a33e63cec54911e9ca4f99
20,Data Analyst,31,India,Asian or Asian American,Masters,Yes,0-40k,Tech,R,4,2,4,3,4,4,Easy,Better Salary,Male,62a3ab320f8c8599d5afdfa8
20,Data Analyst,31,Other,Asian or Asian American,Masters,No,0-40k,Tech,Python,5,6,5,3,6,4,Neither easy nor difficult,Better Salary,Male,62a4e34d7dc029e2d66e10b9
20,Data Analyst,31,Other,Black or African American,Bachelors,Yes,0-40k,Finance,Python,8,8,7,4,8,7,Difficult,Better Salary,Male,62a37a43d8c00e9f541a4a7c
20,Data Analyst,31,Other,Black or African American,Masters,No,0-40k,Other,Python,9,8,9,3,,5,Very Difficult,Other (Please Specify):Both Good work / life Balance and Good Culture,Male,62a365c2f8d5efcc22f81e2e
20,Data Analyst,31,Other,White or Caucasian,Masters,Yes,0-40k,Finance,Other,4,3,3,3,3,5,Difficult,Good Work/Life Balance,Male,62a34256bae91e4b8b82f16d
20,Data Analyst,32,Other,Black or African American,Bachelors,Yes,0-40k,Tech,R,8,9,7,2,6,8,Neither easy nor difficult,Better Salary,Male,62a35c890a77c1a77f65fdfa
20,Data Analyst,32,Other,Hispanic or Latino,"",No,0-40k,Finance,Python,4,4,4,4,4,4,Neither easy nor difficult,Better Salary,Male,62a33e54d8c00e9f5419cfe9
20,Data Analyst,32,Other,White or Caucasian,"",Yes,0-40k,Other,Python,10,8,10,3,7,8,Neither easy nor difficult,Better Salary,Male,62a33cf30a77c1a77f65baa2
20,Data Analyst,32,Other,White or Caucasian,Masters,Yes,0-40k,Other,Python,7,8,7,5,7,5,Neither easy nor difficult,Good Work/Life Balance,Male,62a7029ff8f7561645899bae
20,Data Analyst,32,United Kingdom,Hispanic or Latino,Bachelors,No,0-40k,Healthcare,Python,6,9,7,2,7,6,Difficult,Better Salary,Male,62a62a7124a26260273b94fa
20,Data Analyst,33,India,Asian or Asian American,Bachelors,Yes,0-40k,Tech,Python,5,8,6,5,6,10,Very Difficult,Better Salary,Male,62a403bbf8d5efcc22f8eb18
20,Data Analyst,33,India,Asian or Asian American,Masters,Yes,0-40k,Finance,Python,5,3,5,2,2,2,Very Difficult,Good Work/Life Balance,Female,62a4cffeb4da29969c64f6a1
20,Data Analyst,33,Other,Black or African American,"",Yes,0-40k,Other,Python,3,2,3,2,3,3,Difficult,Good Work/Life Balance,Male,62a33cb6cf25554317300177
20,Data Analyst,33,Other,Hispanic or Latino,Bachelors,Yes,0-40k,Other,Python,8,8,8,4,7,8,Difficult,Remote Work,Male,62a40dfa5d257a28a30eb110
20,Data Analyst,33,Other,Hispanic or Latino,Bachelors,Yes,0-40k,Tech,Python,9,10,7,1,8,4,Easy,Better Salary,Male,62a36fe67dc029e2d66c5303
20,Data Analyst,34,Other,Black or African American,Bachelors,No,0-40k,Other,R,1,1,1,1,1,1,Neither easy nor difficult,Remote Work,Male,62a3870bbc6861bf31775841
20,Data Analyst,34,Other,Black or African American,Bachelors,Yes,0-40k,Education,Python,0,0,0,0,0,0,Very Difficult,Better Salary,Male,62a361af0f8c8599d5af6277
20,Data Analyst,34,Other,Other (Please Specify):Latino with Italian roots,"",Yes,0-40k,Tech,R,9,10,9,1,5,10,Neither easy nor difficult,Better Salary,Male,62a33d15f408bae018ed370d
20,Data Analyst,35,India,Asian or Asian American,Masters,No,0-40k,Finance,Python,2,6,5,2,5,3,Neither easy nor difficult,Remote Work,Female,62a5bea05d257a28a3106f7e
20,Data Analyst,35,India,Asian or Asian American,Masters,Yes,0-40k,Tech,Python,3,7,6,2,6,6,Neither easy nor difficult,Better Salary,Male,62a4c49a575fa3a5ae8aadf4
20,Data Analyst,35,India,Other (Please Specify):Indian,Bachelors,Yes,0-40k,Finance,Python,1,1,1,1,1,1,Very Difficult,Better Salary,Male,62a370635d257a28a30de5eb
20,Data Analyst,35,Other,Hispanic or Latino,Bachelors,Yes,0-40k,Healthcare,R,7,7,7,4,5,5,Neither easy nor difficult,Better Salary,Female,62a3fea50a77c1a77f66e41b
20,Data Analyst,35,Other,White or Caucasian,Masters,Yes,0-40k,Other,Python,5,4,2,4,4,2,Neither easy nor difficult,Good Work/Life Balance,Female,62a70b55cec54911e9cedd98
20,Data Analyst,36,Other,Other (Please Specify):Arab,Bachelors,Yes,0-40k,Agriculture,Python,3,4,3,2,3,1,Difficult,Better Salary,Male,62a525aff8f75616458784dd
20,Data Analyst,36,Other,White or Caucasian,Masters,Yes,0-40k,Telecommunication,Python,6,5,6,2,5,8,Neither easy nor difficult,Remote Work,Female,62a3449f7dc029e2d66bf5d1
20,Data Analyst,37,United States,White or Caucasian,Bachelors,Yes,0-40k,Other,Python,5,6,5,0,5,6,Difficult,Remote Work,Male,62aa4790f8d5efcc2202266e
20,Data Analyst,39,Other,White or Caucasian,Associates,Yes,0-40k,Tech,Python,7,6,7,6,5,7,Neither easy nor difficult,Better Salary,Male,62aa956ef8d5efcc22028e3d
20,Data Analyst,40,Other,White or Caucasian,PhD,Yes,0-40k,Other,Other,6,6,4,3,6,5,Neither easy nor difficult,Better Salary,Female,62a384f0cec54911e9cadd6f
20,Data Analyst,41,Other,Hispanic or Latino,Bachelors,Yes,0-40k,Telecommunication,R,7,6,6,2,5,8,Neither easy nor difficult,Good Work/Life Balance,Male,62a377f424a2626027389af3
20,Data Analyst,41,Other,White or Caucasian,Bachelors,Yes,0-40k,Telecommunication,R,5,7,5,5,5,7,Difficult,Better Salary,Male,62a365d5d8c00e9f541a20cf
20,Data Analyst,44,Other,Hispanic or Latino,Bachelors,Yes,0-40k,Tech,Python,8,9,8,8,8,8,Neither easy nor difficult,Good Work/Life Balance,Male,62a35ababae91e4b8b83269d
20,Data Analyst,45,Other,White or Caucasian,Associates,Yes,0-40k,Other,Other,8,4,4,,8,5,Easy,Good Culture,Male,62a4a8cb0a77c1a77f67a405
20,Data Architect,34,Other,White or Caucasian,Masters,Yes,0-40k,Finance,Python,2,5,3,5,3,6,Very Difficult,Good Work/Life Balance,Female,62a38985f8f756164585b89c
20,Data Engineer,21,Other,Hispanic or Latino,Masters,No,0-40k,Tech,R,2,7,5,2,5,3,Neither easy nor difficult,Remote Work,Male,62a34389cec54911e9ca5a22
20,Data Engineer,22,United States,White or Caucasian,Bachelors,No,0-40k,Real Estate,Python,7,2,7,1,1,7,Very Easy,Better Salary,Male,62a403d30f8c8599d5b03d65
